Year,Min age,Max age,Sex,Chip Time (min)
16,35,39,M,236
16,45,49,F,236
16,50,54,M,236
16,30,34,F,236
16,55,59,M,236
16,45,49,M,236
16,40,44,M,236
16,50,54,M,236
16,25,29,F,236
16,45,49,F,236
16,18,24,M,236
16,45,49,F,237
16,35,39,M,237
16,30,34,F,237
16,50,54,F,237
16,18,24,F,237
16,30,34,F,237
16,35,39,M,237
16,65,69,M,237
16,25,29,F,237
16,40,44,M,237
16,30,34,M,237
16,40,44,M,237
16,35,39,M,237
16,25,29,M,237
16,35,39,F,237
16,50,54,M,237
16,65,69,M,237
16,40,44,M,237
16,45,49,M,237
16,35,39,M,237
16,45,49,M,238
16,40,44,M,238
16,30,34,F,238
16,50,54,M,238
16,25,29,M,238
16,25,29,M,238
16,50,54,M,238
16,18,24,F,238
16,50,54,F,238
16,45,49,F,238
16,30,34,M,238
16,30,34,M,238
16,50,54,M,238
16,40,44,M,238
16,50,54,F,238
16,50,54,M,238
16,35,39,M,238
16,40,44,F,238
16,50,54,M,238
16,45,49,F,238
16,30,34,F,238
16,40,44,F,238
16,25,29,F,238
16,35,39,M,238
16,30,34,F,238
16,25,29,F,238
16,45,49,M,238
16,30,34,M,238
16,65,69,M,238
16,45,49,M,238
16,40,44,F,238
16,35,39,F,238
16,45,49,M,238
16,40,44,M,238
16,65,69,M,238
16,50,54,M,238
16,45,49,M,238
16,45,49,M,238
16,45,49,F,238
16,25,29,M,238
16,50,54,F,238
16,50,54,M,239
16,30,34,F,239
16,50,54,M,239
16,45,49,M,239
16,30,34,M,239
16,50,54,M,239
16,45,49,M,239
16,45,49,M,239
16,40,44,M,239
16,25,29,M,239
16,25,29,M,239
16,40,44,M,239
16,30,34,F,239
16,40,44,F,239
16,60,64,M,239
16,60,64,M,239
16,45,49,M,239
16,45,49,M,239
16,60,64,M,239
16,65,69,M,239
16,50,54,M,239
16,25,29,M,239
16,45,49,M,239
16,50,54,F,239
16,45,49,M,239
16,55,59,M,239
16,35,39,M,239
16,35,39,F,239
16,40,44,M,239
16,40,44,M,239
16,18,24,M,239
16,25,29,F,239
16,18,24,M,239
16,30,34,M,239
16,50,54,F,239
16,40,44,F,240
16,45,49,M,240
16,30,34,M,240
16,45,49,M,240
16,25,29,F,240
16,18,24,F,240
16,35,39,F,240
16,25,29,M,240
16,45,49,M,240
16,45,49,F,240
16,25,29,M,240
16,50,54,M,240
16,35,39,M,240
16,30,34,M,240
16,40,44,M,240
16,30,34,F,240
16,40,44,M,240
16,60,64,M,240
16,45,49,M,240
16,30,34,M,240
16,35,39,F,240
16,50,54,F,240
16,25,29,M,240
16,30,34,F,240
16,30,34,M,240
16,35,39,M,240
16,30,34,M,240
16,30,34,M,240
16,50,54,M,240
16,35,39,F,240
16,45,49,M,240
16,40,44,M,240
16,50,54,M,240
16,35,39,M,240
16,35,39,F,240
16,35,39,F,240
16,25,29,M,240
16,25,29,F,240
16,35,39,M,241
16,35,39,M,241
16,55,59,F,241
16,50,54,F,241
16,50,54,M,241
16,40,44,F,241
16,40,44,F,241
16,45,49,M,241
16,30,34,M,241
16,55,59,M,241
16,18,24,M,241
16,55,59,M,241
16,35,39,M,241
16,45,49,M,241
16,60,64,M,241
16,50,54,M,241
16,18,24,M,241
16,45,49,F,241
16,40,44,F,241
16,45,49,M,241
16,25,29,F,241
16,35,39,F,241
16,35,39,M,241
16,30,34,F,241
16,25,29,M,241
16,25,29,M,241
16,40,44,M,241
16,25,29,M,241
16,25,29,M,241
16,18,24,F,241
16,40,44,F,241
16,25,29,M,242
16,35,39,F,242
16,55,59,M,242
16,40,44,M,242
16,30,34,M,242
16,55,59,F,242
16,18,24,M,242
16,35,39,M,242
16,30,34,F,242
16,40,44,F,242
16,40,44,M,242
16,50,54,F,242
16,40,44,M,242
16,30,34,M,242
16,30,34,F,242
16,40,44,M,242
16,30,34,M,242
16,50,54,M,242
16,50,54,M,242
16,40,44,F,242
16,45,49,M,242
16,18,24,M,242
16,35,39,M,242
16,30,34,F,242
16,50,54,M,242
16,40,44,F,242
16,25,29,M,242
16,40,44,M,242
